time,open,high,low,close,tick_volume,spread,real_volume
2024-07-27 13:25:00,68829.28,68877.31,68814.12,68843.0,94,0,0
2024-07-27 13:26:00,68844.52,68889.61,68824.33,68825.21,98,0,0
2024-07-27 13:27:00,68831.12,68883.34,68802.48,68883.34,103,0,0
2024-07-27 13:28:00,68885.77,68911.28,68830.82,68864.95,124,24,0
2024-07-27 13:29:00,68867.9,68883.43,68830.48,68869.43,94,0,0
2024-07-27 13:30:00,68873.04,68896.53,68836.07,68836.07,84,0,0
2024-07-27 13:31:00,68836.11,68856.31,68812.98,68815.57,91,0,0
2024-07-27 13:32:00,68815.79,68903.91,68799.82,68900.66,110,0,0
2024-07-27 13:33:00,68903.15,68927.73,68860.04,68887.15,134,0,0
2024-07-27 13:34:00,68888.74,69011.57,68861.37,68981.1,130,0,0
2024-07-27 13:35:00,68986.09,69064.25,68939.08,69036.01,142,0,0
2024-07-27 13:36:00,69037.24,69098.7,68977.8,68991.84,122,12,0
2024-07-27 13:37:00,68991.17,69013.13,68904.99,69000.62,145,0,0
2024-07-27 13:38:00,69000.19,69039.73,68949.16,69022.16,129,0,0
2024-07-27 13:39:00,69022.05,69022.05,68950.08,68953.66,132,0,0
2024-07-27 13:40:00,68952.67,69004.03,68942.09,69001.34,98,0,0
2024-07-27 13:41:00,69000.48,69059.66,68975.43,69052.78,123,0,0
2024-07-27 13:42:00,69054.69,69069.9,69004.07,69054.28,104,0,0
2024-07-27 13:43:00,69050.77,69073.14,69010.95,69073.14,99,0,0
2024-07-27 13:44:00,69075.4,69118.31,69027.03,69118.31,114,0,0
2024-07-27 13:45:00,69121.98,69277.28,69121.63,69264.75,187,0,0
2024-07-27 13:46:00,69253.21,69361.23,69244.48,69343.06,149,0,0
2024-07-27 13:47:00,69341.02,69393.85,69273.33,69347.21,170,0,0
2024-07-27 13:48:00,69348.36,69348.79,69254.48,69277.3,125,0,0
2024-07-27 13:49:00,69289.42,69334.07,69274.76,69326.76,113,0,0
2024-07-27 13:50:00,69327.14,69337.96,69301.08,69302.63,103,0,0
2024-07-27 13:51:00,69299.64,69317.94,69198.35,69212.82,123,12,0
2024-07-27 13:52:00,69207.71,69290.03,69194.03,69260.49,134,70,0
2024-07-27 13:53:00,69260.31,69260.31,69223.64,69246.65,75,0,0
2024-07-27 13:54:00,69248.89,69264.49,69229.34,69239.22,81,0,0
2024-07-27 13:55:00,69240.68,69277.6,69207.74,69207.74,95,0,0
2024-07-27 13:56:00,69202.0,69222.48,69192.57,69211.69,68,0,0
2024-07-27 13:57:00,69214.35,69264.69,69194.44,69213.05,95,0,0
2024-07-27 13:58:00,69212.9,69293.24,69209.27,69280.88,91,0,0
2024-07-27 13:59:00,69277.82,69307.42,69234.97,69240.26,98,0,0
2024-07-27 14:00:00,69251.58,69294.14,69249.42,69289.05,94,0,0
2024-07-27 14:01:00,69291.15,69344.15,69291.15,69343.11,100,0,0
2024-07-27 14:02:00,69344.28,69383.6,69282.54,69326.76,126,0,0
2024-07-27 14:03:00,69326.79,69406.8,69326.79,69350.42,104,0,0
2024-07-27 14:04:00,69348.57,69422.81,69340.1,69340.1,101,0,0
2024-07-27 14:05:00,69336.85,69399.3,69312.81,69371.91,132,0,0
2024-07-27 14:06:00,69369.91,69379.66,69312.1,69327.21,113,0,0
2024-07-27 14:07:00,69334.01,69346.26,69192.09,69218.24,111,0,0
2024-07-27 14:08:00,69221.04,69258.45,69148.57,69201.24,127,0,0
2024-07-27 14:09:00,69203.55,69263.77,69168.14,69168.43,106,0,0
2024-07-27 14:10:00,69170.69,69197.02,69129.32,69153.42,106,0,0
2024-07-27 14:11:00,69156.09,69182.68,69081.32,69084.72,109,0,0
2024-07-27 14:12:00,69086.79,69189.98,69086.79,69170.01,132,0,0
2024-07-27 14:13:00,69173.11,69199.66,69118.48,69156.75,100,0,0
2024-07-27 14:14:00,69156.99,69217.62,69154.36,69160.05,93,0,0
2024-07-27 14:15:00,69165.59,69212.32,69104.89,69104.89,104,0,0
2024-07-27 14:16:00,69112.69,69152.92,69079.0,69079.99,91,0,0
2024-07-27 14:17:00,69086.09,69133.42,69080.15,69102.76,111,0,0
2024-07-27 14:18:00,69100.91,69185.29,69100.91,69143.08,110,0,0
2024-07-27 14:19:00,69141.68,69167.46,69101.96,69106.83,96,0,0
2024-07-27 14:20:00,69108.37,69169.53,69086.97,69111.58,123,0,0
2024-07-27 14:21:00,69114.06,69126.86,69090.91,69102.1,86,0,0
2024-07-27 14:22:00,69105.9,69109.59,69059.31,69087.29,89,0,0
2024-07-27 14:23:00,69081.26,69104.71,69003.44,69003.44,93,0,0
2024-07-27 14:24:00,69004.11,69083.92,69004.11,69083.92,102,0,0
2024-07-27 14:25:00,69084.64,69084.64,69028.35,69036.52,100,0,0
2024-07-27 14:26:00,69034.87,69045.84,68980.31,68980.31,89,0,0
2024-07-27 14:27:00,68977.26,68979.18,68863.16,68865.28,155,0,0
2024-07-27 14:28:00,68866.24,68919.4,68799.53,68884.95,165,0,0
2024-07-27 14:29:00,68889.35,68984.02,68879.88,68953.95,123,0,0
2024-07-27 14:30:00,68951.72,69048.04,68920.9,69029.94,133,0,0
2024-07-27 14:31:00,69032.16,69053.5,68965.21,68980.25,130,0,0
2024-07-27 14:32:00,68977.67,69015.43,68854.2,68913.07,143,0,0
2024-07-27 14:33:00,68918.58,69002.32,68918.58,68997.66,154,0,0
2024-07-27 14:34:00,68999.89,69107.66,68983.07,69096.75,114,0,0
2024-07-27 14:35:00,69092.55,69108.84,69029.29,69071.03,126,0,0
2024-07-27 14:36:00,69068.5,69078.09,69028.77,69072.94,93,0,0
2024-07-27 14:37:00,69075.0,69147.16,69058.13,69137.22,113,0,0
2024-07-27 14:38:00,69138.98,69138.98,69044.46,69115.12,128,0,0
2024-07-27 14:39:00,69109.63,69130.04,69085.02,69119.03,96,0,0
2024-07-27 14:40:00,69120.98,69143.49,69054.78,69080.35,96,0,0
2024-07-27 14:41:00,69083.59,69086.85,69023.35,69065.89,92,0,0
2024-07-27 14:42:00,69067.92,69067.92,69001.11,69020.39,88,0,0
2024-07-27 14:43:00,69022.67,69045.08,68985.04,69039.01,86,0,0
2024-07-27 14:44:00,69041.13,69075.35,69020.58,69062.33,88,0,0
2024-07-27 14:45:00,69062.91,69063.31,68996.43,69010.88,101,0,0
2024-07-27 14:46:00,69011.21,69014.74,68972.61,68976.93,78,0,0
2024-07-27 14:47:00,68977.19,69034.59,68947.86,69020.66,102,0,0
2024-07-27 14:48:00,69019.88,69032.19,68961.48,68974.61,89,0,0
2024-07-27 14:49:00,68976.72,69022.01,68961.59,68976.66,93,0,0
2024-07-27 14:50:00,68976.41,69023.68,68936.76,68964.8,98,0,0
2024-07-27 14:51:00,68965.61,68969.27,68896.48,68933.92,95,0,0
2024-07-27 14:52:00,68934.87,68940.99,68893.44,68940.99,90,0,0
2024-07-27 14:53:00,68943.26,68956.43,68916.73,68919.47,93,0,0
2024-07-27 14:54:00,68918.67,68942.71,68888.19,68888.19,87,0,0
2024-07-27 14:55:00,68887.96,68894.21,68824.49,68886.5,80,0,0
2024-07-27 14:56:00,68889.81,68972.16,68857.88,68972.16,108,0,0
2024-07-27 14:57:00,68976.9,69005.57,68943.44,68991.2,94,0,0
2024-07-27 14:58:00,68992.41,69047.75,68992.41,69006.29,80,0,0
2024-07-27 14:59:00,69003.49,69041.32,69003.49,69004.57,86,0,0
2024-07-27 15:00:00,69007.51,69053.17,69002.1,69047.46,102,0,0
2024-07-27 15:01:00,69042.18,69100.61,69038.38,69092.23,81,0,0
2024-07-27 15:02:00,69094.99,69109.21,69041.97,69051.06,97,0,0
2024-07-27 15:03:00,69050.85,69111.21,69050.85,69104.26,78,0,0
2024-07-27 15:04:00,69105.32,69123.37,69034.95,69039.89,102,0,0
2024-07-27 15:05:00,69045.86,69056.94,68955.94,69002.99,97,0,0
2024-07-27 15:06:00,69004.92,69021.71,68865.85,68866.17,119,0,0
2024-07-27 15:07:00,68863.94,68927.52,68863.94,68922.06,100,19,0
2024-07-27 15:08:00,68928.0,68980.2,68888.27,68893.03,125,0,0
2024-07-27 15:09:00,68899.98,68917.91,68825.71,68828.9,101,0,0
2024-07-27 15:10:00,68830.47,68914.42,68822.82,68887.99,129,0,0
2024-07-27 15:11:00,68894.27,68982.94,68894.27,68972.89,120,0,0
2024-07-27 15:12:00,68975.93,68979.11,68785.4,68785.4,139,0,0
2024-07-27 15:13:00,68782.64,68881.06,68782.64,68870.48,152,121,0
2024-07-27 15:14:00,68872.34,68885.77,68826.51,68864.92,104,0,0
2024-07-27 15:15:00,68861.55,68872.9,68782.99,68806.04,117,0,0
2024-07-27 15:16:00,68808.97,68824.04,68759.92,68761.75,119,0,0
2024-07-27 15:17:00,68761.65,68848.21,68718.98,68847.53,137,0,0
2024-07-27 15:18:00,68847.39,68934.41,68806.46,68875.05,142,0,0
2024-07-27 15:19:00,68877.56,68958.06,68870.64,68936.3,136,0,0
2024-07-27 15:20:00,68935.47,68997.36,68858.23,68901.77,125,0,0
2024-07-27 15:21:00,68903.69,68977.07,68885.17,68885.17,149,0,0
2024-07-27 15:22:00,68883.08,68984.15,68865.2,68971.2,121,0,0
2024-07-27 15:23:00,68967.97,68987.96,68939.03,68961.57,91,0,0
2024-07-27 15:24:00,68960.07,69022.64,68958.01,69005.51,94,0,0
2024-07-27 15:25:00,69009.61,69040.54,68944.24,68952.02,103,0,0
2024-07-27 15:26:00,68954.72,68970.3,68907.12,68915.01,112,0,0
2024-07-27 15:27:00,68915.4,68962.43,68891.9,68946.6,93,0,0
2024-07-27 15:28:00,68947.12,68950.27,68815.4,68827.17,103,0,0
2024-07-27 15:29:00,68832.33,68846.59,68799.67,68799.67,87,0,0
